t,p1,p2,p3,amplitude,angle
1.18918918918919,-49.1617558220081,-18.4786425335302,-7.3597147406125,-50,0.783286639179567
1.19319319319319,-49.1048366684172,-18.6894260129349,-7.20585052150619,-50,0.79201018469591
1.1971971971972,-49.0458005726839,-18.9016912306961,-7.05262149801502,-50,0.800775038456161
1.2012012012012,-48.9846270073197,-19.1154248744714,-6.90006150983779,-50,0.809581046364703
1.20520520520521,-48.9212957317659,-19.3306131138791,-6.74820462778336,-50,0.818428053602387
1.20920920920921,-48.8557868017471,-19.547241597103,-6.59708514781238,-50,0.827315904629253
1.21321321321321,-48.788080578657,-19.7652954476445,-6.44673758489916,-50,0.836244443187259
1.21721721721722,-48.7181577389718,-19.9847592612279,-6.29719666671355,-50,0.845213512303035
1.22122122122122,-48.6459992836871,-20.2056171028608,-6.14849732712308,-50,0.854222954290638
1.22522522522523,-48.5715865477765,-20.4278525040535,-6.00067469951536,-50,0.86327261075433
1.22922922922923,-48.4949012096659,-20.6514484602018,-5.85376410994114,-50,0.872362322591354
1.23323323323323,-48.4159253007215,-20.8763874281346,-5.70780107007841,-50,0.881491929994738
1.23723723723724,-48.3346412147463,-21.1026513238323,-5.56282127001781,-50,0.890661272456106
1.24124124124124,-48.251031717482,-21.330221520317,-5.41886057087036,-50,0.899870188768491
1.24524524524525,-48.1650799561116,-21.5590788457201,-5.27595499719751,-50,0.90911851702918
1.24924924924925,-48.0767694687593,-21.7892035815284,-5.13414072926499,-50,0.918406094642552
1.25325325325325,-47.986084193983,-22.0205754610139,-4.9934540951209,-50,0.927732758322942
1.25725725725726,-47.8930084802548,-22.2531736678493,-4.85393156249913,-50,0.937098344097507
1.26126126126126,-47.7975270954268,-22.4869768349133,-4.71560973054926,-50,0.946502687309114
1.26526526526527,-47.6996252361754,-22.7219630432877,-4.57852532139411,-50,0.955945622619232
1.26926926926927,-47.5992885374222,-22.9581098214509,-4.44271517151617,-50,0.965426984010838
1.27327327327327,-47.496503081725,-23.1953941446696,-4.30821622297455,-50,0.974946604791337
1.27727727727728,-47.391255408636,-23.4337924345925,-4.1750655144536,-50,0.984504317595494
1.28128128128128,-47.2835325240208,-23.6732805590482,-4.04330017214531,-50,0.994099954388374
1.28528528528529,-47.1733219093358,-23.9138338320511,-3.91295740046686,-50,1.0037333464683
1.28928928928929,-47.0606115308569,-24.1554270140175,-3.78407447261528,-50,1.0134043244698
1.29329329329329,-46.945389848857,-24.3980343121944,-3.65668872096144,-50,1.02311271836663
1.2972972972973,-46.8276458267259,-24.6416293813046,-3.53083752728508,-50,1.03285835747472
1.3013013013013,-46.7073689400284,-24.8861853244101,-3.40655831285331,-50,1.04264107045517
1.30530530530531,-46.5845491854962,-25.1316746939962,-3.28388852834496,-50,1.05246068531731
1.30930930930931,-46.4591770899472,-25.3780694932791,-3.16286564362299,-50,1.06231702942169
1.31331331331331,-46.3312437191296,-25.6253411777394,-3.04352713735769,-50,1.07220992948309
1.31731731731732,-46.2007406864834,-25.8734606568839,-2.92591048650333,-50,1.08213921157365
1.32132132132132,-46.0676601618159,-26.1223982962369,-2.81005315563094,-50,1.09210470112582
1.32532532532533,-45.9319948798857,-26.3721239195649,-2.69599258612017,-50,1.10210622293553
1.32932932932933,-45.7937381488896,-26.6226068113351,-2.58376618521329,-50,1.11214360116518
1.33333333333333,-45.652883858849,-26.8738157194108,-2.47341131493441,-50,1.12221665934682
1.33733733733734,-45.509426489888,-27.125718857985,-2.36496528087707,-50,1.13232522038516
1.34134134134134,-45.363361120401,-27.3782839107533,-2.25846532086386,-50,1.14246910656078
1.34534534534535,-45.2146834351024,-27.6314780343299,-2.15394859348114,-50,1.15264813953318
1.34934934934935,-45.0633897329548,-27.8852678619056,-2.05145216649272,-50,1.16286214034393
1.35335335335335,-44.9094769349691,-28.1396195071508,-1.95101300513615,-50,1.17311092941985
