x_0,x_1,x_2,x_4,x_10,y_0,y_1,y_2,y_4,y_10,z_0,z_1,z_2,z_4,z_10
4.51603943953533,4.47336839587303,4.36606872104213,4.08879007421746,3.40230772219426,0,-0.572420160962153,-1.067440117988,-1.77667134639561,-2.76407168347809,0,0,0,0,0
4.71238898038469,4.66697882304706,4.55312347009114,4.2611047092169,3.55121123656595,0,-0.60510241345305,-1.12713588431553,-1.87080067420176,-2.89204354699697,0,0,0,0,0
4.90873852123405,4.86074023165934,4.74074854866304,4.43532553527638,3.70670265025776,0,-0.636875291291374,-1.18500971986939,-1.96134207821444,-3.01187660644824,0,0,0,0,0
5.10508806208341,5.05467854400572,4.92903263161349,4.61168640877759,3.86924354182312,0,-0.667551249095978,-1.24070522570251,-2.04764842647174,-3.12199251937985,0,0,0,0,0
5.30143760293278,5.24881532017168,5.11804767623866,4.79036087458916,4.03896829811248,0,-0.696941974865015,-1.29386050181189,-2.12904013372664,-3.22059420798475,0,0,0,0,0
5.49778714378214,5.44316983737431,5.30785717128839,4.97149392782857,4.21585853189281,0,-0.724858589090215,-1.34410960258765,-2.20481426462099,-3.30573569958438,0,0,0,0,0
5.6941366846315,5.63775548934965,5.49850199139783,5.15514682995208,4.39938135120275,0,-0.751111317467548,-1.39108030293656,-2.2742328062408,-3.37528135730476,0,0,0,0,0
5.89048622548086,5.83258269383401,5.69001178232216,5.34134035416088,4.58874065300807,0,-0.775509767128673,-1.43439606437249,-2.33653436017797,-3.42699379080708,0,0,0,0,0
6.08683576633022,6.02765443794564,5.88238732572808,5.52998444999588,4.78240207300103,0,-0.797862640182352,-1.4736741701467,-2.39092612264963,-3.45858559294373,0,0,0,0,0
6.28318530717959,6.22297002335892,6.07561519471308,5.72093450169115,4.97845117815482,0,-0.817978057896115,-1.50852799732778,-2.43659692386777,-3.46780888279405,0,0,0,0,0
