velocity24_no_GGL;velocity24_GGL;time
0.398619333;0.364018713;1.42
0.413298773;0.015622981;1.44
0.453332263;-0.41383991;1.46
0.334514192;-0.578132036;1.48
0.133943214;-0.614561232;1.5
-0.447130051;-0.612724153;1.52
-0.509824122;-0.593902998;1.54
-0.62054609;-0.564693365;1.56
-0.580626936;-0.527066378;1.58
-0.579196224;-0.480198813;1.6
-0.558248395;-0.419167006;1.62
-0.497343924;-0.327151669;1.64
-0.500417657;-0.147696801;1.66
-0.38085905;0.103406338;1.68
-0.405936316;0.200960393;1.7
-0.169838674;0.22557485;1.72
-0.146415855;0.23584519;1.74
0.223152602;0.244212351;1.76
0.077673602;0.253764369;1.78
0.242038533;0.265423699;1.8
0.114708498;0.279496031;1.82
0.231994454;0.29608443;1.84
0.13634073;0.315210096;1.86
0.233217111;0.336830985;1.88
0.16219664;0.36079393;1.9
-5.554139913;0.386679964;1.92
;0.413362324;
;0.43756062;
;0.447818439;
;0.39138706;
;0.091685568;
;-0.358449332;
;-0.564234004;
;-0.612163928;
;-0.614506227;
;-0.597872097;
;-0.570178196;
;-0.533940015;
;-0.488807214;
;-0.430801428;
;-0.346285899;
;-0.18763136;
;0.070149726;
;0.192795301;
;0.223103644;
;0.234409533;
;0.242773681;
;0.252034984;
;0.263311934;
;0.27697065;
;0.293135471;
;0.311838104;
;0.333048518;
;0.356638884;
;0.382253555;
;0.408940441;
;0.433981612;
;0.448246528;
;0.411481388;
;0.162941389;
;-0.293260646;
;-0.546475467;
;-0.608635826;
;-0.615789994;
;-0.601544782;
;-0.575433498;
;-0.540576577;
;-0.497078735;
;-0.441766234;
;-0.363548336;
;-0.223238059;
;0.031031971;
;0.182381079;
;0.220200001;
;0.232909681;
;0.241363436;
;0.250361657;
;0.261265152;
;0.274513035;
;0.290254686;
;0.308533101;
;0.329329317;
;0.352537499;
;0.377856043;
;0.404479156;
;0.430145262;
;0.447520624;
;0.425800575;
;0.227331147;
;-0.22003762;
;-0.523812465;
;-0.603761317;
;-0.616514554;
;-0.60489885;
;-0.580452305;
;-0.546980601;
;-0.505037569;
;-0.452145204;
;-0.379260332;
;-0.254570189;
;-0.012703998;
;0.169030968;
;0.216727417;
;0.231315294;
;0.239973736;
;0.248742622;
;0.259283639;
;0.272124336;
;0.287443741;
;0.305297265;
;0.325676349;
;0.348494328;
;0.373495806;
;0.399997911;
;0.426111486;
;0.445902686;
;0.435649956;
;0.282937322;
;-0.141806518;
;-0.494962026;
;-0.597267529;
;-0.616606875;
;-0.607907206;
;-0.585223872;
;-0.553152143;
;-0.512700343;
;-0.462002469;
;-0.393674271;
;-0.282031699;
;-0.058860832;
;0.151922177;
;0.21250933;
;0.229588882;
;0.238595317;
;0.247176116;
;0.257368199;
;0.269806509;
;0.284705329;
;0.302133977;
;0.322093906;
;0.344515247;
;0.369182169;
;0.395515348;
;0.421931063;
;0.443594865;
;0.442088667;
;0.328668031;
;-0.061865423;
;-0.458461253;
;-0.588802049;
;-0.615979538;
;-0.610539589;
;-0.589736916;
;-0.559091119;
;-0.52008201;
;-0.471392452;
;-0.406995161;
;-0.306167734;
;-0.104863182;
;0.130143329;
;0.207312325;
;0.2276821;
;0.237215781;
;0.245658739;
;0.255518233;
;0.267560031;
;0.282040474;
;0.299044723;
;0.318584118;
;0.340603617;
;0.364921339;
;0.391045443;
;0.417644007;
;0.440753118;
;0.445943004;
;0.364615941;
;0.0171012;
;-0.412882305;
;-0.577898629;
;-0.61452511;
;-0.612762332;
;-0.593981057;
;-0.56479969;
;-0.527199235;
;-0.480365697;
;-0.41939492;
;-0.327534999;
;-0.148493545;
;0.102831763;
;0.200822659;
;0.225531234;
;0.23581835;
;0.244184707;
;0.253730975;
;0.265382967;
;0.279447418;
;0.296027767;
;0.315145408;
;0.336758537;
;0.360714502;
;0.386595637;
;0.413278797;
;0.437495437;
;0.447839295;
;0.391831682;
;0.093090306;
;-0.357299125;
;-0.563935523;
;-0.612108044;
;-0.614535434;
;-0.597944695;
;-0.57028019;
;-0.534068283;
;-0.488967405;
;-0.431015676;
;-0.346630153;
;-0.188348786;
;0.069458987;
;0.192620355;
;0.22305289;
;0.234381724;
;0.242746648;
;0.252002678;
;0.263272445;
;0.276923328;
;0.293080104;
;0.311774688;
;0.332977266;
;0.356560455;
;0.382169719;
;0.408855992;
;0.433910922;
;0.448242548;
;0.411802742;
;0.16423538;
;-0.291936321;
;-0.546094304;
;-0.608556529;
;-0.615809182;
;-0.601611552;
;-0.575531081;
;-0.540700405;
;-0.497232792;
;-0.441968649;
;-0.363860394;
;-0.223872262;
;0.030238406;
;0.182157211;
;0.220139817;
;0.232880376;
;0.241336868;
;0.250330397;
;0.261226896;
;0.274467006;
;0.290200624;
