time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
0.6;0.204859723;0.246476064;0.248026507;0.248738306;0.76643568;1.08E-17;1.003344482;0.234415945;10.47168146;0.53274012;0.20374818
0.61;0.207371341;0.251161774;0.254297041;0.253737284;0.76643568;2.43E-17;1.02006689;0.224937793;10.65224214;0.54274012;0.19976927
0.62;0.209936177;0.256483659;0.258670278;0.259270316;0.76643568;-5.98E-17;1.036789298;0.215948127;10.82767166;0.55274012;0.19602187
0.63;0.212558531;0.262235414;0.26580055;0.265382262;0.76643568;3.77E-17;1.053511706;0.207545909;11.00208692;0.56274012;0.1925883
0.64;0.215245564;0.268703276;0.271606002;0.272099492;0.76643568;1.3E-16;1.070234114;0.199859656;11.18040622;0.57274012;0.18958274
0.65;0.218002231;0.27566671;0.279727417;0.279437481;0.76643568;9.54E-18;1.086956522;0.193103345;11.36978644;0.58274012;0.18716889
0.66;0.220835948;0.283371663;0.287015908;0.287405018;0.76643568;-4.08E-17;1.10367893;0.187745932;11.58195018;0.59095056;0.18577828
0.67;0.223751893;0.291594484;0.29617306;0.296006432;0.76643568;-9.02E-17;1.120401338;0.185019547;11.82687342;0.59911058;0.18505109
0.68;0.226757556;0.300566296;0.304959532;0.30524255;0.76643568;1.99E-17;1.137123746;0.186116779;12.05788631;0.60758652;0.18503833
0.69;0.229858122;0.310056638;0.315153745;0.315110704;0.76643568;1.00E-22;1.153846154;0.189218656;12.23099358;0.61614455;0.18571421
0.7;0.233061057;0.320293486;0.325433227;0.32560388;0.76643568;3.99E-17;1.170568562;0.192884608;12.36640931;0.62493396;0.18695014
0.71;0.236371343;0.331028621;0.336624016;0.336708869;0.76643568;-5.03E-17;1.18729097;0.196747569;12.4812763;0.63352621;0.1885134
0.72;0.239796249;0.342490559;0.348357103;0.348403059;0.76643568;-1.91E-17;1.204013378;0.200727001;12.58438466;0.64172741;0.19021581
0.73;0.24334018;0.354393134;0.360429165;0.360649153;0.76643568;9.02E-17;1.220735786;0.20481658;12.68065556;0.65172741;0.19246935
0.74;0.247009762;0.366958165;0.373487164;0.373386449;0.76643568;-1.30E-16;1.237458194;0.209033119;12.77319492;0.66172741;0.19485238
0.75;0.250807965;0.379820365;0.386153566;0.386516158;0.76643568;8.85E-17;1.254180602;0.213401545;12.86419082;0.67172741;0.19732478
0.76;0.254739554;0.393158875;0.400164183;0.399875852;0.76643568;1.91E-17;1.27090301;0.217949835;12.95534565;0.68172741;0.19986521
0.77;0.258803829;0.406427503;0.412690823;0.413192953;0.76643568;1.00E-22;1.287625418;0.222707111;13.04811684;0.69172741;0.20246245
0.78;0.263000088;0.419625882;0.426560941;0.42599543;0.76643568;1.00E-22;1.304347826;0.227702888;13.14387246;0.70172741;0.20511114
0.79;0.267317152;0.431706362;0.436851783;0.43742875;0.76643568;-1.11E-16;1.321070234;0.232966731;13.24401244;0.71172741;0.20780929
0.8;0.271736208;0.441905614;0.446959446;0.445850584;0.76643568;1.00E-22;1.337792642;0.238527913;13.35009261;0.72172741;0.21055696
