time,kinetic_energy,potential_energy,total_energy,L_1,L_2,L_3,P_1,P_2,P_3,energy_increment,external_power,external_work,power_balance,angmom_increment_1,angmom_increment_2,angmom_increment_3,linmom_increment_1,linmom_increment_2,linmom_increment_3,center_of_mass_1,center_of_mass_2,center_of_mass_3,center_of_mass_difference_1,center_of_mass_difference_2,center_of_mass_difference_3
3.3,287.265952038041,48.2462128385445,335.512164876586,-0.0304135462867956,368.330488174727,181.502016417668,38.4400000000001,1.66533453693773e-15,3.61932706027801e-14,20.1304615600304,201.304615600304,20.1304615600304,2.48689957516035e-14,0.00239345822779091,15.116531612479,8.19088373685332,1.31999999999997,5.21804821573824e-15,7.43849426498855e-15,7.65620000000001,2.33146835171283e-16,4,0.0011333333333452,2.33146835171283e-16,4.44089209850063e-15
3.4,312.106345449325,43.5362809872911,355.642626436616,-0.0328070045145865,383.447019787206,189.692900154521,39.7600000000001,-3.5527136788005e-15,4.36317648677687e-14,20.7431615887048,207.431615887048,20.7431615887048,-1.06581410364015e-14,0.00255202841827373,14.7670974747921,8.18118515958062,1.23999999999998,2.88657986402541e-15,2.94209101525666e-14,8.04720000000001,3.10862446895044e-16,4.00000000000001,0.00106666666667898,3.10862446895044e-16,5.32907051820075e-15
3.5,337.829208001991,38.5565800233298,376.385788025321,-0.0353590329328602,398.214117261998,197.874085314102,41.0000000000001,-6.43929354282591e-15,7.30526750203353e-14,21.362255367722,213.622553677219,21.3622553677219,1.13686837721616e-13,0.00245632310826038,14.3715771343989,8.13919572508729,1.15999999999999,7.7715611723761e-15,5.10702591327572e-15,8.45100000000001,3.10862446895044e-16,4.00000000000001,0.00100000000001188,3.10862446895044e-16,5.32907051820075e-15
3.6,364.254268887286,33.493774505757,397.748043393043,-0.0378153560411206,412.585694396397,206.013281039189,42.1600000000001,1.33226762955019e-15,6.79456491070596e-14,21.6526954153193,216.526954153187,21.6526954153187,5.96855898038484e-13,0.00235210854292839,13.9141694283748,8.04905547268905,1.08000000000004,7.7715611723761e-16,1.23234755733392e-14,8.86680000000002,2.66453525910038e-16,4.00000000000001,0.000933333333346553,2.66453525910038e-16,6.21724893790088e-15
3.7,390.792724651063,28.6080141572987,419.400738808362,-0.040167464584049,426.499863824772,214.062336511878,43.2400000000001,5.55111512312578e-16,5.56221735337203e-14,21.6736363350424,216.736363350419,21.6736363350419,5.32907051820075e-13,0.00231388851377956,13.3782685106271,7.8944982733683,1,1.22124532708767e-15,3.5527136788005e-15,9.29380000000002,2.66453525910038e-16,4.00000000000001,0.000866666666677673,2.66453525910038e-16,7.105427357601e-15
3.8,416.981575987713,24.0927991556912,441.074375143404,-0.0424813530978286,439.878132335399,221.956834785246,44.2400000000001,-6.66133814775094e-16,5.20694598549198e-14,21.6049446241667,216.049446241658,21.6049446241658,8.98836560736527e-13,0.00226901658831358,12.7485763697492,7.66040717609343,0.920000000000002,6.66133814775094e-16,8.21565038222616e-15,9.73120000000001,3.10862446895044e-16,4.00000000000001,0.000800000000012346,3.10862446895044e-16,7.105427357601e-15
3.9,442.721112267117,19.9582075004545,462.679319767571,-0.0447503696861422,452.626708705148,229.61724196134,45.1600000000001,-1.33226762955019e-15,4.38538094726937e-14,21.282251777865,212.822517778639,21.2822517778639,1.02673425317334e-12,0.0022003500272036,12.0148826277882,7.33556781942258,0.840000000000053,1.77635683940025e-15,5.99520433297585e-15,10.1782,2.66453525910038e-16,4.00000000000001,0.000733333333348796,2.66453525910038e-16,7.99360577730113e-15
4,467.697242356457,16.2643291889786,483.961571545436,-0.0469507197133458,464.641591332937,236.952809780762,46.0000000000002,-3.10862446895044e-15,3.78586051397178e-14,20.4776698117588,204.776698117579,20.4776698117579,9.34363697524532e-13,0.00206365478478809,11.1716391083787,6.91277770814946,0.759999999999998,7.7715611723761e-16,2.38697950294409e-14,10.634,0,4.00000000000001,0.000666666666683469,0,7.99360577730113e-15
4.1,491.478969363438,12.9602719937566,504.439241357195,-0.0490143744981338,475.813230441315,243.865587488912,46.7600000000002,-3.88578058618805e-15,1.3988810110277e-14,19.2788778789968,192.788778789955,19.2788778789955,1.32160948851379e-12,0.00173747821340192,10.2167488391889,6.38857292740107,0.68,3.1641356201817e-15,6.77236045021345e-15,11.0978,4.44089209850063e-17,4.00000000000001,0.000600000000019918,4.44089209850063e-17,8.88178419700125e-15
4.2,513.804944545689,9.91317469050241,523.718119236192,-0.0507518527115358,486.029979280504,250.254160416313,47.4400000000002,-7.04991620636974e-15,7.21644966006352e-15,17.8686911801838,178.686911801822,17.8686911801822,1.58095758706622e-12,0.00128746455561651,9.15393545878379,5.7655072708362,0.599999999999987,3.33066907387547e-15,1.83186799063151e-15,11.5688,0,4.00000000000001,0.000533333333352815,0,8.88178419700125e-15
4.3,534.245232794062,7.34157762231361,541.586810416375,-0.0520393172671523,495.183914739288,256.019667687149,48.0400000000001,-3.71924713249427e-15,9.04831765069503e-15,16.2309060849175,162.309060849173,16.2309060849173,1.52766688188422e-13,0.000803122640130383,7.99517584929168,5.05412581107657,0.520000000000017,1.29865736220314e-15,1.09883890181406e-14,12.0462,8.88178419700125e-17,4.00000000000001,0.000466666666689264,8.88178419700125e-17,8.88178419700125e-15
4.4,552.439200366077,5.37851613521597,557.817716501293,-0.0528424399072827,503.17909058858,261.073793498226,48.5600000000002,-5.01790449469741e-15,-1.94007136744556e-15,14.3210239006018,143.210239006015,14.3210239006015,2.98427949019242e-13,0.00040149768099873,6.75989754846569,4.27223480982968,0.440000000000012,1.50654228675551e-14,2.38416057729562e-15,12.5292,-8.88178419700125e-17,4.00000000000001,0.000400000000018608,8.88178419700125e-17,8.88178419700125e-15
4.5,568.153737865197,3.98500253669758,572.138740401895,-0.0532439375882814,509.938988137045,265.346028308055,49.0000000000002,1.00475183728577e-14,4.44089209850063e-16,12.1581122533061,121.581122533058,12.1581122533058,2.96651592179842e-13,0.000277839771402277,5.47435741455007,3.44424344903797,0.360000000000021,3.83026943495679e-15,6.32827124036339e-15,13.017,1.77635683940025e-16,4.00000000000001,0.000333333333360386,1.77635683940025e-16,8.88178419700125e-15
