time,total_energy,energy_increment,external_power,dissipated_energy,power_balance
0.02,0.0517240522861502,0.00598029132687201,6.56604836309101,0.000536340312804403,-4.01154803819637e-17
0.021,0.0577043436130222,0.00560530879757007,6.23569443416058,0.000585757036218954,-6.81963166493382e-17
0.022,0.0633096524105922,0.00525159916903607,5.91829814152786,0.000630385636590442,4.66206934168767e-17
0.023,0.0685612515796283,0.00512378243863673,5.82071399033339,0.000666698972491835,5.3776427755281e-17
0.024,0.073685034018265,0.00430720298431642,5.02582694381538,0.000696931551696715,1.36609473733174e-17
0.025,0.0779922370025815,0.00400541049023154,4.73672457180692,0.000718623959498982,-8.41340885848751e-17
0.026,0.081997647492813,0.00345379558012923,4.19142090076677,0.000731314081575303,3.96817995129695e-17
0.027,0.0854514430729422,0.00263625544588605,3.371085500694,0.000737625320637575,2.11419423634673e-17
0.028,0.0880876985188283,0.00236616503520193,3.09182790442611,0.000734830054807972,4.10912623372006e-17
0.029,0.0904538635540302,0.00161010077575285,2.32119395425344,0.000725662869224224,5.93058588349571e-17
0.03,0.0920639643297831,0.00107838649239408,1.76836346033091,0.000711093178500643,6.13658429626796e-17
0.031,0.0931423508221771,0.000806693511226211,1.47267459868405,0.000689976967936889,-7.73036148982165e-17
0.032,0.0939490443334034,0.000160753384075216,0.799175448437439,0.000665981087457762,-8.96635196645512e-17
0.033,0.0941097977174786,-4.08766923432058e-05,0.567161638022072,0.000638422064362133,1.81061762805079e-16
0.034,0.0940689210251354,-0.000260717380569625,0.316716552841499,0.000608038330365458,-1.95156391047391e-17
0.035,0.0938082036445657,-0.000629201023789105,-0.083974692005512,0.000577433933411104,-1.40946282423116e-17
0.036,0.0931790026207766,-0.000546249727973735,-0.0329780529367194,0.000545226331783579,2.59124319224036e-17
0.037,0.0926327528928029,-0.000724565596933818,-0.242491026074639,0.000513271675037042,7.04731412115578e-18
0.038,0.0919081872958691,-0.000744637511849305,-0.293925222786786,0.000482074570859187,-7.8984128265569e-17
0.039,0.0911635497840198,-0.000613993773287663,-0.1932893187538,0.000450712289062441,-1.49457269477127e-16
0.04,0.0905495560107321,-0.000668705568312236,-0.277439893697835,0.000420704454533714,7.89299181569447e-17
0.041,0.0898808504424199,-0.00052729564068546,-0.164833440746005,0.00039126567461448,-5.29090660172926e-17
0.042,0.0893535548017344,-0.000442090545112891,-0.107284268179241,0.000362462199939402,2.0870891820346e-17
0.043,0.0889114642566215,-0.000399302671289875,-0.091506412234575,0.000334806276933672,1.86482773667507e-17
0.044,0.0885121615853317,-0.000288378357365796,-0.0065056616377366,0.000307796259055319,-1.7130394325271e-17
0.045,0.0882237832279659,-0.000250028399845961,0.0071676054558822,0.000281872695728042,-2.00577401909818e-17
0.046,0.0879737548281199,-0.000215610512590475,0.0184266985269896,0.000257196005301823,2.86500424079295e-17
0.047,0.0877581443155294,-0.000185590105238137,0.0272910147692352,0.000234037211117493,-1.42545480627532e-16
0.048,0.0875725542102913,-0.000183093974862436,0.0112304859091086,0.00021288112000723,-9.40816435174296e-17
0.049,0.0873894602354288,-0.000177155033585938,0.00200007857017998,0.000194324460771451,7.31565415884594e-17
0.05,0.0872123052018429,-0.000168132307234087,0,0.000179155112156191,1.32679240857914e-16
0.051,0.0870441728946088,-0.000162713322874264,0,0.000168132307234219,2.46384943697331e-17
0.052,0.0868814595717346,-0.000163666816923771,0,0.000162713322874289,1.76968899603946e-16
0.053,0.0867177927548108,-0.000171185979779026,0,0.000163666816923948,-8.13151629364128e-18
0.054,0.0865466067750318,-0.000185629378198174,0,0.000171185979779018,-3.73236597878135e-17
0.055,0.0863609773968336,-0.000206563975296878,0,0.000185629378198136,7.67886188662859e-17
0.056,0.0861544134215367,-0.000233370649262224,0,0.000206563975296955,5.16893385732464e-17
0.057,0.0859210427722745,-0.000265339170910442,0,0.000233370649262276,1.1741909528018e-16
0.058,0.085655703601364,-0.000301027400202047,0,0.000265339170910559,9.28619160733835e-17
0.059,0.085354676201162,-0.000339228202769326,0,0.00030102740020214,4.39101879856629e-17
0.06,0.0850154479983927,-0.000378516305592103,0,0.00033922820276937,1.93530087788663e-17
0.061,0.0846369316928006,-0.000417196857814439,0,0.000378516305592122,-1.06251812903579e-17
0.062,0.0842197348349861,-0.000454140870468578,0,0.000417196857814429,3.23580138378299e-16
0.063,0.0837655939645175,-0.000487890652906831,0,0.000454140870468901,9.82287168271867e-17
0.064,0.0832777033116107,-0.000517301104008938,0,0.000487890652906929,-1.4886095828226e-16
0.065,0.0827604022076018,-0.000541660117061499,0,0.000517301104008789,-1.70328161297473e-16
0.066,0.0822187420905403,-0.000560018599643844,0,0.000541660117061328,-4.83554168928535e-17
0.067,0.0816587234908964,-0.000572090781232118,0,0.000560018599643796,-1.59377719355369e-17
0.068,0.0810866327096643,-0.000577734441309485,0,0.000572090781232102,-8.67361737988404e-18
0.069,0.0805088982683548,-0.000576851137683659,0,0.000577734441309477,-7.26415455565288e-17
0.07,0.0799320471306712,-0.000570102711707682,0,0.000576851137683587,1.14925430283463e-16
0.071,0.0793619444189635,-0.000558049490803347,0,0.000570102711707797,-2.92734586571086e-17
0.072,0.0788038949281601,-0.000541620114377472,0,0.000558049490803318,4.94938291739633e-16
0.073,0.0782622748137827,-0.000522212668463751,0,0.000541620114377967,2.69966340948891e-17
0.074,0.0777400621453189,-0.000500884497640519,0,0.000522212668463778,1.11564403548758e-16
0.075,0.0772391776476784,-0.000479154865484027,0,0.000500884497640631,-1.98137947021726e-16
0.076,0.0767600227821944,-0.000458389625591055,0,0.000479154865483829,2.16840434497101e-16
0.077,0.0763016331566033,-0.000439597760801852,0,0.000458389625591272,-1.13136496698862e-16
0.078,0.0758620353958015,-0.00042407715995052,0,0.000439597760801739,5.41016884070267e-17
0.079,0.0754379582358509,-0.000412518770538092,0,0.000424077159950574,3.67002435386343e-16
0.08,0.0750254394653129,-0.000405488416247865,0,0.000412518770538459,-1.15684371804203e-16
0.081,0.074619951049065,-0.000403568639499891,0,0.000405488416247749,-1.13299127024735e-17
0.082,0.0742163824095651,-0.000406663371316368,0,0.000403568639499879,2.22261445359528e-17
0.083,0.0738097190382487,-0.000414825381027606,0,0.00040666337131639,-1.20888542232134e-16
0.084,0.0733948936572211,-0.000427796804991942,0,0.000414825381027485,-5.40691623418521e-16
0.085,0.0729670968522292,-0.000444826324966133,0,0.000427796804991402,4.54931231574918e-16
0.086,0.0725222705272631,-0.000465412661424386,0,0.000444826324966588,-2.90078291248497e-16
0.087,0.0720568578658387,-0.000488484199164557,0,0.000465412661424096,3.5453411040276e-17
0.088,0.0715683736666741,-0.000512924878938184,0,0.000488484199164593,-6.23416249179165e-17
0.089,0.0710554487877359,-0.00053780329422401,0,0.000512924878938122,1.6230506522108e-16
0.09,0.0705176454935119,-0.000561724138770772,0,0.000537803294224172,-1.06360233120828e-16
0.091,0.0699559213547411,-0.000583744687522481,0,0.000561724138770666,2.26489833832222e-16
0.092,0.0693721766672187,-0.000602955091835597,0,0.000583744687522707,-3.77085515590458e-16
0.093,0.0687692215753831,-0.000618374755417858,0,0.00060295509183522,-4.30861943345739e-16
0.094,0.0681508468199652,-0.000629657484988347,0,0.000618374755417427,-2.34187669256869e-17
0.095,0.0675211893349769,-0.000636301766506447,0,0.000629657484988323,-2.41451823812522e-16
0.096,0.0668848875684704,-0.000638080666822971,0,0.000636301766506206,-1.7130394325271e-16
0.097,0.0662468069016474,-0.000635227129569857,0,0.0006380806668228,-1.69460799559484e-16
0.098,0.0656115797720776,-0.000627714225440903,0,0.000635227129569687,-1.0397498834136e-16
0.099,0.0649838655466367,-0.000616066097883339,0,0.0006277142254408,1.0842021724855e-17
0.1,0.0643677994487533,-0.000600879810793833,0,0.00061606609788335,-2.07082614944731e-17
0.101,0.0637669196379595,-0.0005826423506885,0,0.000600879810793813,4.92227786308419e-17
0.102,0.063184277287271,-0.000562416363279597,0,0.00058264235068855,-6.57026516526216e-17
0.103,0.0626218609239914,-0.000540981469952864,0,0.000562416363279531,-9.72529348719497e-17
0.104,0.0620808794540385,-0.000519280560330605,-0,0.000540981469952767,1.89518539750466e-16
0.105,0.0615615988937079,-0.000498485845733691,-0,0.000519280560330795,3.2309224740068e-17
0.106,0.0610631130479743,-0.000479297027260746,-0,0.000498485845733724,5.80048162279745e-18
0.107,0.0605838160207135,-0.00046265823004276,-0,0.000479297027260752,-1.02023424430886e-16
0.108,0.0601211577906707,-0.000449284722069634,-0,0.000462658230042658,-7.47015296842513e-17
0.109,0.0596718730686011,-0.000439458356412112,-0,0.00044928472206956,8.84708972748172e-17
