time,total_energy,energy_increment,external_power,tip_velocity_B_1,tip_velocity_B_2,tip_velocity_B_3,tip_position_I_1,tip_position_I_2,tip_position_I_3,mid_constraint_1,mid_constraint_2,mid_constraint_3,mid_constraint_4,mid_constraint_5,mid_constraint_6,mid_constraint_norm,drift_K_1,drift_K_2,drift_K_3,Gamma_1,Gamma_2,Gamma_3
0.02,0.0517399862287533,0.00599003185755122,5.99003185755121,-1.96984977442236,-0.995695545662444,0.0361940076133477,0.999639005042454,0.0103436300499154,0.0106121974436248,1.4432899320127e-15,1.11022302462516e-15,2.22044604925031e-16,-1.7037750096665e-17,-2.71050543121376e-19,1.0842021724855e-19,1.83446863396055e-15,5.37070027461963e-16,3.87218749420651e-16,3.28144393812679e-15,7.39839995240572e-17,5.2717637415007e-17,1.51083161539854e-15
0.021,0.0577300180863045,0.00561515194014232,5.61515194014233,-2.1395027508657,-1.04982183009002,0.0434574403072055,0.999532330468949,0.0119321966833023,0.0122658429316771,1.4432899320127e-15,1.11022302462516e-15,1.11022302462516e-16,-2.53838833633169e-17,-3.25260651745651e-19,0,1.82445920514278e-15,5.45536182840024e-16,3.77010131377548e-16,3.18863126786543e-15,6.40313925809875e-17,6.41191014121868e-17,1.7578287751584e-15
0.022,0.0633451700264469,0.00526485396807141,5.26485396807145,-2.30440189553058,-1.106201399567,0.0511699758303369,0.999404320230471,0.0136391782871204,0.0140466622715913,1.55431223447522e-15,1.11022302462516e-15,1.11022302462516e-16,-1.10774968841917e-17,-2.16840434497101e-19,-4.33680868994202e-19,1.91335584362328e-15,5.22413251062043e-16,3.40391829175719e-16,3.43911630720319e-15,4.76662629444148e-17,8.59218592949237e-17,2.13411319579982e-15
0.023,0.0686100239945183,0.00514683957401543,5.14683957401544,-2.46418455239698,-1.16551416303109,0.0592362955429701,0.999252687707689,0.0154622620347366,0.0159522992438141,1.55431223447522e-15,1.22124532708767e-15,1.11022302462516e-16,3.86416430537412e-18,-4.33680868994202e-19,-4.33680868994202e-19,1.97981512539451e-15,5.33350952197261e-16,3.97830765933522e-16,3.19825054172356e-15,1.3682306023379e-16,4.71227742018372e-17,2.11689720926648e-15
0.024,0.0737568635685337,0.00433251958335171,4.33251958335166,-2.61932380214869,-1.22563591124597,0.067728321372213,0.999075193006985,0.0173989145251736,0.0179800534256854,1.4432899320127e-15,1.22124532708767e-15,0,2.09047731382361e-18,-8.67361737988404e-19,0,1.8906430385439e-15,5.94416174591949e-16,3.04285236668463e-16,3.39869828426286e-15,3.65898958000896e-17,7.3848515116313e-17,1.54012185216213e-15
0.025,0.0780893831518854,0.00404397815898314,4.04397815898308,-2.76293370475755,-1.292845800777,0.0767185229859806,0.998869900228112,0.0194453131684574,0.0201255399694556,1.55431223447522e-15,1.22124532708767e-15,0,5.74627151417317e-18,0,0,1.97670424970685e-15,5.38017824910161e-16,3.5317495936389e-16,3.16529189123077e-15,8.10232440839152e-17,6.9238215234668e-17,1.45868687611804e-15
0.026,0.0821333613108685,0.00350571312010906,3.50571312010902,-2.89598810234429,-1.36145313017105,0.0864173771291921,0.998635390857884,0.0215960193102401,0.0223823576267966,1.4432899320127e-15,1.22124532708767e-15,1.11022302462516e-16,-2.81892564846231e-18,-8.67361737988404e-19,0,1.89390090212899e-15,5.70890460611225e-16,3.47505858096503e-16,3.15886619451738e-15,8.16947595993933e-17,7.86009401109799e-17,1.90505180696046e-15
0.027,0.0856390744309776,0.00269682555296502,2.69682555296502,-3.01364942388114,-1.43293484111291,0.0969838517826466,0.998370932441533,0.0238439721708157,0.0247420726972452,1.4432899320127e-15,1.22124532708767e-15,0,1.62630325872826e-18,0,0,1.89064238333033e-15,5.76481948585787e-16,3.34024372474776e-16,3.28414263919176e-15,8.79019878434216e-17,8.13040321616713e-17,1.82216992185789e-15
0.028,0.0883358999839426,0.00244962778851622,2.44962778851625,-3.11093434165338,-1.50937577986465,0.108642240277722,0.998076739779052,0.0261798941633377,0.0271935058326913,1.55431223447522e-15,1.22124532708767e-15,0,9.77137207952561e-18,-8.67361737988404e-19,0,1.97672023898212e-15,5.58627423139445e-16,3.07156293306682e-16,3.16811993225858e-15,1.01255079863733e-16,9.78446058117587e-17,2.04338349788568e-15
0.029,0.0907855277724588,0.00170737241771743,1.70737241771737,-3.18882715852353,-1.58263969910557,0.121532900622524,0.997754077454936,0.0285926730047276,0.0297232700221257,1.55431223447522e-15,1.22124532708767e-15,0,6.53231808922516e-18,0,-1.73472347597681e-18,1.97670745220884e-15,5.45711168323316e-16,3.81631279526729e-16,3.12869486133477e-15,1.71683302751375e-16,9.56294588560038e-17,2.24236881417982e-15
0.03,0.0924929001901763,0.00119279644515095,1.19279644515096,-3.24120145652655,-1.65745955759861,0.135878907172802,0.997405387110259,0.0310694463826712,0.0323159287132524,1.55431223447522e-15,1.22124532708767e-15,0,1.67780286192132e-17,0,-1.73472347597681e-18,1.97676786261885e-15,5.87974663680764e-16,3.74384916364279e-16,2.97464158118129e-15,1.41316426740835e-16,8.68091911859827e-17,2.13609766261804e-15
